replication,window,young_mean,old_mean,diff,cohend,p_two_sided,p_one_sided
0,all,-0.023655515672150785,-0.12811880296585948,0.1044632872937087,0.447905423248388,0.21494994594780054,0.10747497297390027
0,early,-0.06893669476384674,-0.07294755676949492,0.00401086200564818,0.014547232103684481,0.9674522956586807,0.48372614782934037
0,late,0.021625663419545173,-0.18329004916222402,0.2049157125817692,0.5562311809164268,0.12614720326458506,0.06307360163229253
1,all,-0.0573633337655102,-0.012225771105980967,-0.04513756265952923,-0.2538887287253533,0.4782475917184691,0.7608762041407655
1,early,0.025369622134129043,-0.012981953182229895,0.03835157531635894,0.14492850376175798,0.6847774188270437,0.34238870941352184
1,late,-0.14009628966514945,-0.01146958902973203,-0.12862670063541742,-0.5057542303084808,0.16291072572290427,0.9185446371385478
2,all,0.0038421270463183284,-0.18167068404197445,0.1855128110882928,0.7991657214553888,0.031214191707624465,0.015607095853812232
2,early,0.007591336465474772,-0.11967153027614513,0.1272628667416199,0.4598076973140874,0.203320810112509,0.1016604050562545
2,late,9.291762716189152e-05,-0.24366983780780374,0.24376275543496564,0.797283638438868,0.03158414241184577,0.015792071205922884
3,all,-0.01382846921765922,-0.12486951571068057,0.11104104649302135,0.4737662640402839,0.19030293403243062,0.09515146701621531
3,early,-0.17832102286600798,-0.12233139177195786,-0.05598963109405013,-0.2259144685864492,0.5276832283905578,0.7361583858047211
3,late,0.15066408443068954,-0.1274076396494033,0.27807172408009284,0.7694047403698262,0.03754557464563997,0.018772787322819985
4,all,-0.05532724506357138,-0.05200365396245729,-0.00332359110111409,-0.015194980231018746,0.9660039382795087,0.5169980308602456
4,early,0.028018146200734936,-0.12274263506531045,0.1507607812660454,0.3801413029641617,0.29085599554583513,0.14542799777291757
4,late,-0.1386726363278777,0.01873532714039587,-0.15740796346827357,-0.6350656355344885,0.08253443192416778,0.9587327840379161
5,all,0.0520825584917933,-0.11152971564710436,0.16361227413889767,0.7060864421856685,0.05495405577422323,0.027477027887111614
5,early,-0.00627136014015002,-0.14171090650455254,0.13543954636440253,0.4275589482996247,0.2359845981714098,0.1179922990857049
5,late,0.11043647712373658,-0.08134852478965623,0.19178500191339282,0.5175040936519133,0.15366997365423887,0.07683498682711944
6,all,-0.10056384406973581,-0.06552191260945953,-0.03504193146027629,-0.19001956322537417,0.5949169258825577,0.7025415370587211
6,early,-0.0022408762320489523,-0.07409656626829615,0.0718556900362472,0.2765173048722801,0.44028020594468564,0.22014010297234282
6,late,-0.1988868119074227,-0.056947258950622914,-0.14193955295679977,-0.4558297817192243,0.20715273072503443,0.8964236346374828
7,all,-0.0772362234969797,-0.1042644652373952,0.0270282417404155,0.11345187103943231,0.7505182581325881,0.37525912906629405
7,early,0.0035900597224114567,-0.16569534904752597,0.16928540876993742,0.5288878192465448,0.1451211851089451,0.07256059255447254
7,late,-0.15806250671637084,-0.04283358142726443,-0.11522892528910642,-0.33544987242202373,0.3503056735228614,0.8248471632385693
8,all,0.020310194185434685,-0.06463172551835163,0.08494191970378631,0.3678440398826352,0.30645759179278076,0.15322879589639038
8,early,0.024952405370362207,-0.023610332745814283,0.04856273811617649,0.19304996162679655,0.5890847344300254,0.2945423672150127
8,late,0.015667983000507146,-0.10565311829088898,0.12132110129139613,0.3797804027702753,0.29130573518873965,0.14565286759436982
9,all,-0.07103261487119367,-0.1737972092301711,0.10276459435897745,0.4782008429289659,0.1863049722840427,0.09315248614202135
9,early,-0.02185065936091367,-0.17165094982284396,0.14980029046193027,0.5840894348322584,0.10895368595377865,0.054476842976889324
9,late,-0.12021457038147368,-0.17594346863749832,0.055728898256024645,0.1746203387333159,0.6249731066822294,0.3124865533411147
10,all,-0.06708326996084259,-0.08587173093625802,0.018788460975415436,0.07895858391361425,0.8247935324987667,0.4123967662493834
10,early,-0.017317804989107094,-0.152643017991408,0.1353252130023009,0.4265325692461593,0.237084919672896,0.118542459836448
10,late,-0.11684873493257807,-0.01910044388110808,-0.09774829105146998,-0.34940840000760853,0.3309217090371155,0.8345391454814423
11,all,-0.11459466859393469,-0.09148583569019214,-0.02310883290374255,-0.09616338827307501,0.7874920232279752,0.6062539883860124
11,early,-0.055044385863036296,-0.12190835853375252,0.06686397267071623,0.2318715502975321,0.5169309578984068,0.2584654789492034
11,late,-0.1741449513248331,-0.061063312846631745,-0.11308163847820135,-0.3294916685036135,0.35880583175993297,0.8205970841200335
