Session ID,Mouse ID,alpha,beta,kappa,nll,n_trials,beta_at_bound,kappa_at_bound,alpha_at_bound,group
old_000_s00,old_000,0.25432112277011093,21.2867269532706,-0.3552440352646765,17.177343758708812,150,False,False,False,non_boundary
old_000_s01,old_000,0.2626605253608923,21.135089500785973,1.5355553758294578,10.123320442514116,150,False,False,False,non_boundary
old_000_s02,old_000,0.31746606145001016,31.538789083341253,-0.4042379570032106,12.854989593666208,150,False,False,False,non_boundary
old_000_s03,old_000,0.4233500817381007,35.673490499675296,-1.0437676310182535,6.810543385220571,150,False,False,False,non_boundary
old_000_s04,old_000,0.22070504483823203,29.07012030556317,-0.21122338725382708,19.15227147967502,150,False,False,False,non_boundary
old_000_s05,old_000,0.3286199952883317,15.155540374257637,0.0890330510480239,18.19410442544976,150,False,False,False,non_boundary
old_000_s06,old_000,0.23083854499525938,29.318033268533135,-0.30044873447071113,14.370675305697878,150,False,False,False,non_boundary
old_000_s07,old_000,0.33046071227331886,32.74341980255249,0.047614129411281896,8.030827206906638,150,False,False,False,non_boundary
old_000_s08,old_000,0.2583347662806524,29.26587175843661,0.08088110274996536,15.423324517176212,150,False,False,False,non_boundary
old_000_s09,old_000,0.17835151887610465,50.0,-1.3481816130458604,10.798219097466387,150,True,False,False,fast_learner
old_001_s00,old_001,0.2611160620083766,26.557050818484413,-0.5085280642184689,14.626882304226603,150,False,False,False,non_boundary
old_001_s01,old_001,0.26931364595660323,23.274507598471736,0.24630457088908572,16.331579168970986,150,False,False,False,non_boundary
old_001_s02,old_001,0.23155207923522095,28.756735925053235,0.08478850045378972,15.92497281422067,150,False,False,False,non_boundary
old_001_s03,old_001,0.3412754579340451,28.004889693597693,0.15793021123419504,15.365297324015383,150,False,False,False,non_boundary
old_001_s04,old_001,0.25453915851473824,22.615430946130154,0.7554042235134963,15.799952459121377,150,False,False,False,non_boundary
old_001_s05,old_001,0.30149533622049673,21.143943736862536,-0.4393623258097974,22.801472357082147,150,False,False,False,non_boundary
old_001_s06,old_001,0.21214550988481964,24.330442165391283,-0.1322058995534915,18.00492576441525,150,False,False,False,non_boundary
old_001_s07,old_001,0.25953336494994955,23.254539152408938,-0.5636019953235991,18.175551041500157,150,False,False,False,non_boundary
