tau_sst,kappa_young,kappa_old,diff,p,cohend
0.06,-0.007893972638846966,-0.27427561216943136,0.2663816395305844,0.3099110038523028,0.29639487232633865
0.08,0.0075045165073130415,-0.18492146442743337,0.19242598093474642,0.4746746004642493,0.20807957266576027
0.1,0.011472102535473058,-0.07539609704603273,0.08686819958150578,0.75067443127563,0.09227750223776063
0.13,0.04669335709072144,-0.0399219799484161,0.08661533703913754,0.7477169775035474,0.0934116566732911
0.16,0.015948929613368818,-0.00024022357351612586,0.016189153186884943,0.9509106038552979,0.01786900644233279
