noise_sigma,kappa_young,kappa_old,diff,p,cohend
0.18,-0.07849071662815481,-0.0013628028242160435,-0.07712791380393877,0.7577493405415965,-0.08957018832111951
0.22,0.02194355463288905,-0.05113220471575064,0.07307575934863969,0.7787887492651653,0.08156537863625751
0.25,0.02654742424823654,0.014189626374806244,0.012357797873430295,0.960083011891324,0.01452694994620883
0.3,-0.19444964099389703,-0.17701743137263448,-0.017432209621262545,0.9424226872001543,-0.020963833039283345
