tau_pv,kappa_young,kappa_old,diff,p,cohend
0.008,0.011472102535473058,-0.27427561216943136,0.2857477147049044,0.2861687377766767,0.3115095545154949
0.01,0.011472102535473058,-0.27427561216943136,0.2857477147049044,0.2861687377766767,0.3115095545154949
0.015,0.011472102535473058,-0.27427561216943136,0.2857477147049044,0.2861687377766767,0.3115095545154949
0.02,0.011472102535473058,-0.27427561216943136,0.2857477147049044,0.2861687377766767,0.3115095545154949
0.03,0.04669335709072144,-0.18492146442743337,0.23161482151815482,0.3860655128580166,0.2526198619789261
