label,young_mean,old_mean,diff,cohend,p_ttest,p_mwu,n_young,n_old
All sessions,0.012408685718408086,-0.0878355063955003,0.10024419211390839,0.4155787141902282,0.24906581441221637,0.5340292284243271,16,16
Early sessions (0-4),0.04221602429338108,-0.03193936679095271,0.07415539108433379,0.20771497875510248,0.5612598487356216,0.7203098459695906,16,16
Late sessions (5-9),-0.01739865285656489,-0.1437316460000479,0.126332993143483,0.4579644155974348,0.20508964861485338,0.18091058756582523,16,16
